model,epoch,train_loss,validation_accuracy,validation_macro_f1
text_only,1,1.0996937357604284,0.3333333333333333,0.29039774093597825
text_only,2,1.099158804455839,0.3333333333333333,0.2349187185951039
text_only,3,1.0990355081970842,0.3333333333333333,0.18438303801479916
text_only,4,1.0988783721844777,0.3333333333333333,0.22253501693820651
text_only,5,1.0988457383801522,0.3333333333333333,0.30418080387049634
text_only,6,1.098812437738332,0.3333333333333333,0.18316724289333208
text_only,7,1.0987318006931956,0.3333333333333333,0.24477833055256557
text_only,8,1.0986993300441263,0.3333333333333333,0.16666666666666666
image_only,1,1.1026818510854453,0.3333333333333333,0.17233155933264596
image_only,2,1.0989209405703386,0.3333333333333333,0.30030610348731224
image_only,3,1.0989192693784442,0.3333333333333333,0.21480777185638525
image_only,4,1.0987970148572912,0.3333333333333333,0.16666666666666666
image_only,5,1.0986596748292101,0.3333333333333333,0.1674936582638158
image_only,6,1.0986412372000118,0.3333333333333333,0.16832053915611597
image_only,7,1.0986567586424776,0.3333333333333333,0.1674936582638158
image_only,8,1.098655553029943,0.3333333333333333,0.17617789325982794
multimodal_no_auxiliary,1,1.0721576709242626,0.512735326688815,0.5055819629730565
multimodal_no_auxiliary,2,0.6362573756291912,0.7573643410852713,0.7556186979701618
multimodal_no_auxiliary,3,0.35016073455528846,0.8026578073089701,0.7987787397513699
multimodal_no_auxiliary,4,0.249938042740961,0.8286821705426357,0.8250087261535924
multimodal_no_auxiliary,5,0.19834855574120114,0.8386489479512735,0.835247021178203
multimodal_no_auxiliary,6,0.16641667897123466,0.8449612403100775,0.8412354142993421
multimodal_no_auxiliary,7,0.14379206530927932,0.8509413067552603,0.8473463170782641
multimodal_no_auxiliary,8,0.12811768770212184,0.8622369878183832,0.8591700271176853
multimodal_auxiliary,1,1.6842034269684911,0.5922480620155038,0.584007042959366
multimodal_auxiliary,2,0.6852248755500209,0.8496124031007752,0.8468957919683638
multimodal_auxiliary,3,0.30285362238814517,0.8781838316722038,0.8761420439160502
multimodal_auxiliary,4,0.19852343157764127,0.8725359911406423,0.8697008425959596
multimodal_auxiliary,5,0.1492196105247096,0.884828349944629,0.8818376891976442
multimodal_auxiliary,6,0.11935281582581146,0.8921373200442968,0.8898764157424469
multimodal_auxiliary,7,0.09777718721077494,0.897452934662237,0.8957933543572768
multimodal_auxiliary,8,0.07863874862354389,0.8932447397563676,0.890977879522311
